CUST_ID,CLUSTER
C10001,1
C10002,3
C10003,4
C10004,4
C10005,4
C10006,1
C10007,2
C10008,1
C10009,4
C10010,4
C10011,1
C10012,4
C10013,2
C10014,2
C10015,3
C10016,0
C10017,3
C10018,1
C10019,2
C10020,1
C10021,1
C10022,2
C10023,1
C10024,0
C10025,3
C10026,1
C10027,0
C10028,1
C10029,0
C10030,1
C10031,0
C10032,2
C10033,0
C10034,4
C10035,1
C10036,3
C10037,3
C10038,0
C10039,0
C10040,0
C10041,3
C10043,0
C10044,4
C10045,3
C10046,2
C10047,4
C10048,1
C10049,3
C10050,2
C10051,4
C10052,0
C10053,2
C10054,3
C10055,2
C10056,1
C10057,4
C10058,4
C10059,2
C10060,3
C10061,0
C10062,4
C10063,4
C10064,3
C10065,4
C10067,0
C10068,4
C10069,3
C10070,3
C10071,2
C10072,4
C10073,0
C10074,0
C10075,3
C10077,4
C10078,4
C10079,2
C10080,2
C10081,1
C10082,3
C10083,0
C10084,1
C10085,3
C10086,1
C10087,1
C10088,2
C10089,2
C10090,0
C10092,0
C10093,4
C10094,3
C10095,2
C10096,0
C10097,4
C10098,4
C10099,4
C10100,3
C10101,4
C10102,3
C10103,1
C10104,3
C10105,4
C10106,1
C10107,2
C10108,1
C10109,3
C10110,0
C10111,1
C10112,3
C10113,0
C10114,0
C10115,2
C10116,3
C10117,0
C10118,3
C10119,2
C10120,2
C10121,1
C10122,3
C10123,1
C10124,3
C10125,0
C10126,4
C10127,2
C10128,3
C10130,3
C10131,2
C10132,3
C10133,2
C10134,0
C10135,3
C10136,4
C10137,2
C10138,1
C10139,0
C10140,1
C10141,4
C10142,2
C10143,0
C10144,2
C10145,0
C10146,4
C10147,3
C10148,3
C10149,2
C10150,2
C10151,4
C10152,1
C10153,4
C10154,1
C10155,2
C10156,0
C10157,2
C10158,1
C10159,0
C10160,2
C10161,1
C10162,0
C10163,3
C10164,2
C10165,4
C10166,3
C10167,3
C10168,1
C10169,4
C10170,1
C10171,3
C10172,1
C10173,2
C10174,1
C10175,2
C10176,3
C10177,2
C10178,1
C10179,3
C10180,0
C10181,3
C10182,4
C10183,3
C10184,2
C10185,1
C10186,2
C10187,1
C10188,0
C10189,4
C10190,4
C10191,1
C10192,3
C10193,1
C10194,4
C10196,4
C10197,4
C10198,4
C10199,4
C10200,1
C10201,4
C10202,2
C10203,2
C10204,2
C10205,4
C10206,0
C10207,4
C10208,0
C10209,1
C10211,0
C10212,2
C10213,1
C10214,0
C10215,0
C10216,0
C10217,4
C10218,0
C10219,4
C10220,3
C10221,4
C10222,1
C10223,1
C10224,1
C10226,1
C10227,0
C10228,2
C10229,2
C10230,2
C10231,4
C10232,2
C10233,2
C10234,4
C10235,2
C10236,2
C10237,3
C10238,2
C10239,4
C10240,1
C10241,4
C10242,4
C10243,2
C10244,4
C10245,0
C10246,0
C10247,1
C10248,4
C10249,0
C10250,2
C10251,2
C10252,4
C10253,2
C10254,1
C10255,2
C10256,1
C10257,0
C10258,2
C10259,0
C10260,1
C10261,1
C10262,2
C10263,3
C10265,1
C10266,4
C10267,0
C10269,2
C10270,3
C10271,4
C10272,2
C10273,2
C10274,0
C10275,1
C10276,2
C10277,2
C10278,4
C10279,4
C10280,2
C10281,2
C10282,0
C10283,2
C10284,2
C10285,0
C10286,4
C10287,4
C10288,4
C10289,1
C10290,2
C10291,2
C10292,1
C10293,4
C10294,2
C10295,3
C10296,3
C10297,3
C10298,0
C10299,4
C10300,3
C10301,2
C10302,0
C10303,4
C10304,3
C10305,1
C10306,2
C10307,0
C10308,3
C10309,4
C10310,4
C10311,0
C10312,2
C10313,3
C10314,4
C10315,3
C10316,2
C10317,2
C10318,2
C10319,3
C10320,4
C10321,2
C10322,0
C10323,2
C10324,3
C10325,3
C10326,3
C10327,3
C10328,4
C10329,1
C10330,1
C10331,3
C10332,0
C10333,3
C10334,4
C10335,3
C10336,1
C10337,2
C10338,0
C10339,3
C10340,2
C10341,3
C10342,2
C10343,2
C10344,2
C10345,3
C10346,0
C10347,1
C10348,2
C10349,1
C10350,1
C10351,4
C10352,0
C10353,4
C10354,4
C10355,2
C10356,1
C10357,2
C10358,2
C10359,0
C10360,1
C10361,3
C10362,2
C10364,0
C10365,4
C10366,4
C10367,2
C10368,2
C10369,0
C10370,3
C10371,3
C10372,4
C10373,3
C10374,4
C10375,0
C10376,4
C10377,1
C10378,4
C10379,1
C10380,3
C10381,3
C10382,2
C10383,0
C10384,3
C10385,2
C10386,1
C10387,4
C10388,2
C10389,1
C10390,4
C10391,3
C10392,3
C10393,3
C10395,0
C10396,4
C10397,2
C10398,3
C10399,4
C10400,3
C10402,1
C10403,1
C10404,4
C10405,2
C10406,2
C10407,0
C10408,1
C10409,3
C10410,1
C10411,0
C10412,3
C10413,0
C10414,2
C10415,1
C10416,0
C10417,2
C10419,3
C10420,2
C10421,4
C10422,3
C10423,3
C10424,2
C10425,3
C10426,2
C10427,1
C10428,0
C10429,1
C10430,2
C10431,4
C10432,2
C10433,2
C10434,0
C10435,1
C10436,3
C10437,3
C10438,2
C10439,0
C10441,0
C10442,3
C10443,3
C10444,0
C10445,3
C10446,3
C10447,0
C10448,4
C10449,3
C10450,3
C10451,0
C10452,0
C10453,2
C10454,3
C10455,0
C10456,4
C10457,3
C10458,3
C10459,1
C10460,2
C10461,0
C10462,2
C10463,4
C10466,3
C10467,1
C10468,2
C10469,2
C10470,0
C10471,0
C10472,0
C10473,1
C10474,1
C10475,4
C10476,4
C10477,2
C10478,2
C10480,2
C10481,2
C10482,2
C10483,3
C10484,3
C10485,2
C10486,1
C10487,0
C10488,4
C10489,0
C10490,3
C10491,2
C10492,3
C10493,1
C10494,1
C10495,0
C10497,2
C10498,3
C10501,4
C10502,1
C10503,2
C10504,3
C10505,3
C10506,2
C10507,2
C10508,3
C10509,2
C10510,0
C10511,2
C10512,0
C10513,3
C10514,2
C10515,4
C10516,0
C10517,0
C10518,3
C10519,3
C10520,1
C10521,4
C10522,2
C10523,2
